Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,18666.35,18707.8,18565.05,18594.35,111119738,4089.43
02-Jan-24,18651.35,18664.35,18241,18339.35,80495853,4871.81
03-Jan-24,18361.3,18395.45,18175.5,18317.5,49691190,3852.11
04-Jan-24,18428.95,18428.95,18296.75,18326.75,59064589,4445.03
05-Jan-24,18378.45,18514.75,18345.2,18406.95,56528639,4216.8
08-Jan-24,18490.65,18556.75,18332.3,18350.2,60751582,3477.28
09-Jan-24,18542.45,18606.15,18402.4,18519.8,64931318,5506.26
10-Jan-24,18565.6,18575.1,18384.45,18559.1,55216503,3678.31
11-Jan-24,18648.5,18826.9,18631.45,18755.1,67888356,5589.09
12-Jan-24,18771,18798.75,18588.15,18715.2,48862199,3787.73
15-Jan-24,18796.65,18799.4,18623.6,18765.25,48437034,2979.08
16-Jan-24,18749.1,18865.85,18642.3,18712.7,46996165,3686.79
17-Jan-24,18537,18620,18413.65,18447.25,49750584,4058.9
18-Jan-24,18402.5,18528.45,18142.5,18496.25,52982976,4054.42
19-Jan-24,18585.05,18708.35,18572.75,18694.6,36218101,3008.96
20-Jan-24,18752.25,18786.75,18592.15,18651.1,19996841,1444.47
23-Jan-24,18649.6,18763,18314.15,18361,63360536,5331.29
24-Jan-24,18384.6,18632.15,18143.75,18593.7,48266011,3787.16
25-Jan-24,18707.75,18709.1,18434.45,18614.9,76636303,5712.7
29-Jan-24,18631,18949.6,18570.75,18927.25,62622012,4783.34
30-Jan-24,18993.65,19123.7,18859.1,18878.35,49829948,4448.22
31-Jan-24,18887.15,19257.1,18861.55,19227.15,61585425,5869.1
01-Feb-24,19351.85,19559.55,19283.35,19328.7,55933737,6127.36
02-Feb-24,19364,19563.05,19304.75,19380.5,55128244,4842.82
05-Feb-24,19655.85,19823.35,19529.2,19615.3,115089413,7322.17
06-Feb-24,19731.2,19912.45,19683.9,19903.85,102438688,5021.25
07-Feb-24,19977.75,20033.6,19762.2,19903.8,54477950,3187.76
08-Feb-24,19963.25,19974.55,19607.5,19649.5,42430202,3512.44
09-Feb-24,19709.75,19713.35,19365.2,19576,44856871,3727.94
12-Feb-24,19644,19653.15,19364.5,19419.6,53756038,4282.81
13-Feb-24,19504.95,19554,19235.9,19433.05,57177542,4234.58
14-Feb-24,19300.5,19770.8,19257.1,19716,43003879,4231.33
15-Feb-24,19842.65,20029.1,19811.95,19981.7,37820857,4625.7
16-Feb-24,20093.65,20515.05,20074.1,20423.45,48866671,6127.55
19-Feb-24,20514.2,20548.8,20380.9,20481.6,31267852,3876.75
20-Feb-24,20459.35,20480.4,20239.5,20354.25,41518331,3991.53
21-Feb-24,20372,20494.1,20192.45,20252.55,62180748,4382.43
22-Feb-24,20341.15,20621.95,20181,20584.85,39334321,4329.53
23-Feb-24,20692.8,20711,20540.75,20621.35,40071761,3814.15
26-Feb-24,20633.45,20714.45,20537.5,20642.4,40767584,3842.19
27-Feb-24,20633.4,20825.85,20593,20788.55,43485259,4272.23
28-Feb-24,20808.4,20830.4,20325.7,20372.35,66452626,4571.6
29-Feb-24,20317.8,20481.75,20230.2,20412.4,79203346,7932.63
01-Mar-24,20485.75,20918.25,20473.3,20871.95,50775858,4616.18
04-Mar-24,20998.85,21040.35,20824.95,20840.2,50656410,3619.75
05-Mar-24,21003.1,21348.95,20930.4,21121.2,120846591,9534.28
06-Mar-24,21153.35,21229.35,20888.8,21181.3,494641650,10224.77
07-Mar-24,21141.4,21247.55,21004.5,21126.8,64684764,8302.02
11-Mar-24,21213.4,21219.85,20962,21001.15,57255910,4670.17
