Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,21449.25,21551.45,21376.5,21457.1,99476763,6143.51
02-Jan-24,21453.7,21465.8,21299.1,21346.15,120622084,10561.38
03-Jan-24,21362.15,21368.3,21216.55,21256.55,104984316,9653.58
04-Jan-24,21346.75,21551.55,21329.1,21516.6,137421486,13370.91
05-Jan-24,21529.95,21602.1,21380.4,21514.2,105208580,10762.6
08-Jan-24,21511.95,21554.05,21270.15,21292.45,89942534,9168.09
09-Jan-24,21385.45,21479.45,21155.4,21197.25,108328488,10038.64
10-Jan-24,21138.85,21256.95,21095.85,21224.3,90709240,8087.23
11-Jan-24,21299.25,21382.75,21170.8,21249.2,84386651,7794.43
12-Jan-24,21303.75,21371.95,21217.9,21300.7,93204242,8301.49
15-Jan-24,21374.5,21499.35,21336.7,21461.35,111099511,10497.95
16-Jan-24,21444.05,21513.5,21415,21447.15,113416090,10271.9
17-Jan-24,20733.7,21015.8,20486.9,20528.9,310235134,29891.67
18-Jan-24,20245.95,20522.1,20194.75,20324.05,236264043,22232.24
19-Jan-24,20510.35,20604.9,20371.15,20425.35,183547521,17507.71
20-Jan-24,20548.95,20619.5,20412.65,20542.05,90491502,7225.59
23-Jan-24,20735.5,20771.85,20081.3,20137.05,280790077,27030.16
24-Jan-24,19878.55,20324.5,19878.55,20206.4,220240456,20001.27
25-Jan-24,20204.15,20234.9,19941.3,20099.4,185143381,18697.48
29-Jan-24,20246.4,20465,20235.75,20413.35,202498431,17587.07
30-Jan-24,20392.15,20466.3,20242.7,20285.5,165410209,15976.92
31-Jan-24,20249.25,20587.45,20160.55,20497.5,165554377,16802.8
01-Feb-24,20555.95,20570.2,20355.7,20516.65,130895977,12091.4
02-Feb-24,20661.05,20817.5,20408.3,20434.05,132422150,12582.3
05-Feb-24,20441.35,20458.05,20260,20315.85,133559363,12374.07
06-Feb-24,20351.8,20391,20240.55,20365.5,140575561,12701.09
07-Feb-24,20463.45,20537.6,20357.85,20443.65,183647970,14728.82
08-Feb-24,20496.65,20542.85,20021.35,20064.7,208478742,19111.3
09-Feb-24,20037.85,20233.55,19958.6,20203.3,202663669,15738.6
12-Feb-24,20198.4,20231.55,19822.05,19918.5,134976766,10624.83
13-Feb-24,19984.3,20272.1,19920.05,20190.5,146429923,13733.14
14-Feb-24,19976.65,20394,19941.1,20325.55,155207093,15632.02
15-Feb-24,20372.2,20442.95,20205.35,20416.15,113011995,11051.92
16-Feb-24,20526,20552.3,20401.9,20472.75,98266526,9373.96
