Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,57127.55,57503.15,56899.4,57292.35,19095764,1851.26
02-Jan-24,57427.4,57430,56763.7,57209.5,21779769,2279.1
03-Jan-24,57130.5,57631.6,57058.45,57213.3,35605717,2717.4
04-Jan-24,57470.9,57922.2,57327.25,57703.9,27421818,2879.45
05-Jan-24,57945.1,57966.7,57455.85,57667.35,24105421,2668.55
08-Jan-24,57718.85,57748.35,56636.45,56672.85,28259386,2711.51
09-Jan-24,56868.3,56996.25,56487.65,56573.1,16984637,1817.16
10-Jan-24,56575.6,56794.85,56134.65,56348.95,17380011,1817.58
11-Jan-24,56476.4,56688,56123.8,56228.55,17668217,2074.03
12-Jan-24,56279.1,56559.9,56008,56485.75,27803687,3263.83
15-Jan-24,56795.4,56818.6,56317.45,56657.3,20995094,2516.7
16-Jan-24,56705.2,56872.5,56425.05,56755.85,24734812,2339.05
17-Jan-24,56477.65,56839.6,56191.7,56259.5,25636261,2706.83
18-Jan-24,56175.6,56228.2,55206.7,55953.6,22176870,2242.34
19-Jan-24,56296.3,56813.95,56085.3,56640.5,25100551,2372.87
20-Jan-24,56632.8,56650.35,55933.65,55976.65,9235648,1296.97
23-Jan-24,56212.7,56284.4,54816.1,54973.9,25865311,3092.49
24-Jan-24,55130.3,55918.6,54859.9,55858.7,36475670,3159.8
25-Jan-24,55932.3,55981.6,54981.05,55214.1,33768158,2965.34
29-Jan-24,55058.15,55470.5,55047.7,55139.1,32136373,2667.95
30-Jan-24,55187.2,55501.4,54507.4,54574.35,57485159,3742.3
31-Jan-24,54634.25,55124.95,54501.35,55071.4,37303924,3095.83
01-Feb-24,55205.85,55792,55114.2,55215.8,54911054,4617.44
02-Feb-24,55347.4,55557.5,54992.9,55118.4,31912450,2648.65
05-Feb-24,55340.4,55387.9,54590.6,54698.4,26675833,2568.33
06-Feb-24,54860.15,54956.7,54372.6,54608.8,31963156,2699.06
07-Feb-24,55041.35,55041.35,54523.1,54772.6,24564802,2657.72
08-Feb-24,54774.6,54775.6,53317.25,53646.2,63224923,4360.21
09-Feb-24,53536.85,54007.8,53452.75,53867.1,44053672,3012.84
12-Feb-24,54005.55,54036,53231.5,53292.95,19332182,1614.51
