Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,7995.55,8055.6,7966.45,7999.8,154119796,3828.43
02-Jan-24,8017.95,8042.7,7866.35,8023.9,187245384,4571.84
03-Jan-24,8042.55,8045.95,7860.55,7878.4,217737739,10174.84
04-Jan-24,7926.15,7930.25,7874.4,7883.05,165567148,4732.11
05-Jan-24,7905.9,7992.2,7823,7871.8,181054278,4791.1
08-Jan-24,7915.2,7921.35,7737.4,7747,144529644,3634.63
09-Jan-24,7819.7,7863.6,7775.8,7808.3,117438304,3341.69
10-Jan-24,7811.3,7893.15,7729.75,7882.65,148786769,3950.97
11-Jan-24,7926.35,7940.05,7857.95,7876.15,102709289,3192.21
12-Jan-24,7912.65,7938.8,7870.3,7898.35,101990569,2550.5
15-Jan-24,7941.4,7945.1,7827.6,7864.1,124253461,2908.26
16-Jan-24,7889.05,7973.2,7808.1,7941.85,279973174,5745.87
17-Jan-24,7852.9,7852.9,7683.7,7693.55,206597677,4727.22
18-Jan-24,7697.55,7708.35,7484.95,7629.1,169310880,4117.11
19-Jan-24,7683.55,7748.5,7668.35,7732.35,114737123,3185.03
20-Jan-24,7767.55,7790.1,7702.15,7752.5,90939063,2243.45
23-Jan-24,7780.55,7792.05,7470.15,7486.85,159847714,4137.64
24-Jan-24,7523.05,7717.45,7504.2,7708.65,181966591,5418.13
25-Jan-24,7744.35,7746.5,7626.3,7719.65,260223980,5461.05
29-Jan-24,7766.65,7853.95,7748.5,7843.75,190661451,5195.26
30-Jan-24,7880.95,7978.95,7852.6,7864,172375930,4533.94
31-Jan-24,7872.6,7986.55,7858.65,7973.1,140330304,4091.64
01-Feb-24,8000.15,8003.8,7869.6,7891.05,135040105,4498.56
02-Feb-24,7953.2,8115.2,7928.4,8078.25,332062053,7314.98
05-Feb-24,8120.55,8226.45,8059.25,8109.55,341613132,7088.92
06-Feb-24,8137.2,8255.95,8028.35,8238.25,276519014,6028.92
07-Feb-24,8324.1,8348.25,8224.15,8276.65,245636258,5918.23
08-Feb-24,8314.3,8344.25,8197.1,8221.85,136313526,3855.33
09-Feb-24,8235.45,8239.2,7935.3,8095.6,174067830,4042.34
12-Feb-24,8135.75,8182.95,7863.25,7901.65,186391542,3906.98
13-Feb-24,7806.5,7806.8,7547.2,7737.85,230594527,6151.02
14-Feb-24,7694.6,7885.9,7666.7,7874.8,245504052,5627.78
15-Feb-24,7943.95,7987.15,7890.2,7910.6,313331077,8163.7
16-Feb-24,7968.55,8022.2,7928.85,7976.45,220922380,5357.04
19-Feb-24,8018.35,8035.5,7965,7981.25,111788579,2997.17
20-Feb-24,8004.55,8007.5,7904.5,7955.8,119522685,3085.13
21-Feb-24,8037.7,8118.9,7937.25,7976.45,270352026,6418.77
22-Feb-24,8026.6,8078.3,7950.5,8069.4,188709208,4382.12
23-Feb-24,8103.9,8112.8,8032.5,8047.75,111289869,3279.55
26-Feb-24,8058.5,8081.4,7945.4,7971.75,110898681,3069.02
27-Feb-24,7987.5,8016.45,7957,8000.55,106304765,2881.49
28-Feb-24,8030.9,8049.1,7824.55,7850.35,121400157,3182.36
29-Feb-24,7859.75,7965.95,7812,7921.9,326135801,8155.23
01-Mar-24,7992.8,8225.65,7990.75,8208.5,348271299,6918.43
04-Mar-24,8337,8375.25,8229.35,8318.95,282924178,5849.55
05-Mar-24,8324.8,8347.75,8257.15,8300.55,155370959,3869.49
06-Mar-24,8304.9,8324.8,8097.2,8257.65,186571439,4490.34
07-Mar-24,8290.55,8436.55,8281.7,8371.3,259258059,5527.27
