Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,46339.1,46633.7,46244.85,46472.45,2930842027,18797.12
02-Jan-24,46581.15,46652.25,45858.6,46389.65,2366367770,21988.76
03-Jan-24,46473,46652.45,46183.85,46529.05,1617296948,19454.38
04-Jan-24,46744.8,47345.25,46728.2,47309.7,1356855453,20585.02
05-Jan-24,47539.3,47647.9,47064.2,47396.3,1899561106,20790.6
08-Jan-24,47541.55,47560,46845.35,46894.35,1316191803,16081.92
09-Jan-24,47230,47360.65,46901,46969.95,1434555741,22183.44
10-Jan-24,47057.15,47130.15,46576.85,47107.15,1547090484,21050.19
11-Jan-24,47291.7,47434.75,47197.4,47337.3,1156031653,25093.73
12-Jan-24,47579.05,47595.4,47363.65,47512.6,1006795738,19875.72
15-Jan-24,47797.05,47951.35,47485.9,47837.95,1497336533,26604.87
16-Jan-24,47970.75,48053.45,47249.65,47667.4,2071790804,28667.91
17-Jan-24,47252.75,47599.9,46899.55,47151.55,1901608436,28531.59
18-Jan-24,47038.2,47176.15,45860.25,47099.85,1647209551,29024
19-Jan-24,47510.4,47855.9,47377.15,47815.95,1566931814,30016.25
20-Jan-24,48180.1,48287.2,47899.15,48062.8,983496749,16088.11
23-Jan-24,48459.15,48493.95,46259,46569.6,1919287130,34762.33
24-Jan-24,46681.15,47505.4,46081.35,47423.4,1804259902,31186.49
25-Jan-24,47565.8,47589.25,46951.5,47208.65,1394445170,23819.92
29-Jan-24,47406.1,48003.15,47289.8,47979.05,1404933888,26423.88
30-Jan-24,48233,48296.4,47731.85,47791.95,1324051611,23960.1
31-Jan-24,47876.1,48598.05,47827.3,48568.6,1047472118,23585.82
01-Feb-24,48726.75,48726.75,47987.3,48298,1425460490,27166.29
02-Feb-24,48521,48796.35,48416.1,48477,1648989274,28796.04
05-Feb-24,48668.65,48876.4,48296.1,48410.2,1833873939,31463.2
06-Feb-24,48638.55,49018.5,48301.55,48984.65,2169470413,30696.1
07-Feb-24,49349.1,49430.85,48950.05,49352.05,2955189610,27448.77
08-Feb-24,49776.4,49780.65,49238.7,49327.8,3022657363,29795.39
09-Feb-24,49390.7,49395.7,48040.75,48889.05,3042979156,32016.37
12-Feb-24,49137.65,49142.9,47526.55,47675.8,2060660712,29500.57
13-Feb-24,47754.65,47908.2,46943.25,47835.65,1815452941,25353.57
14-Feb-24,47313,48494.85,47096.5,48331.9,1634245046,22071.1
15-Feb-24,48653.35,48896.1,48583.4,48821.9,1499748598,22812.76
16-Feb-24,49059.65,49210.1,48897.65,49131.95,1260068582,21913.39
19-Feb-24,49437.5,49524.85,49263.9,49310.95,1283322684,20972.82
20-Feb-24,49347.1,49451.7,49078.4,49248.45,1247233868,19002.4
21-Feb-24,49411.35,49464.9,48499.55,48630.5,1495870098,20897.12
22-Feb-24,48857,49189.3,48195.5,49128.35,1722928890,18800.28
23-Feb-24,49359.05,49506.25,49164.05,49279.55,2701055923,21258.14
26-Feb-24,49320.75,49404.4,48845.7,49102.3,1538392062,25498.32
27-Feb-24,49139.55,49351.8,48860.95,49041.2,1553309312,19919.14
28-Feb-24,49159.85,49184.6,47972.1,48089.1,2555484853,21690.07
29-Feb-24,48098.65,48470.8,47548.8,48335.7,2436448233,38098.05
01-Mar-24,48574.95,48830.5,48517.45,48790.6,1559681520,21023.88
04-Mar-24,49273.7,49334.75,48971.15,49248.9,1253987447,25825.8
05-Mar-24,49278.3,49381.65,48999.85,49114.9,1119061792,19121.22
06-Mar-24,49213.7,49228.1,48092.65,48857.3,1447696052,23745.55
07-Mar-24,48935.9,49182.05,48868.6,48966.15,856742709,20342.38
11-Mar-24,49194.6,49201.2,48697.35,48774.65,884965948,20228.88
12-Mar-24,48837.2,48891.2,47862.4,48086.85,1055143438,18538.62
13-Mar-24,48190.05,48278,45656.85,45971.4,2101516926,25964.16
14-Mar-24,45658.1,46979.75,45293.35,46901.2,1936551389,22798.55
15-Mar-24,46904.45,47145.3,46062.05,46685.6,1707468620,26130.96
18-Mar-24,46669.1,46847.95,46149.55,46501.65,986056355,17836.72
19-Mar-24,46514.8,46536.55,45751.05,45926.3,934054756,15830.65
20-Mar-24,46096.65,46234.7,45395.3,45919.9,954032983,16094.36
21-Mar-24,46430.7,47071.15,46424.85,47033.55,848186888,16987.64
22-Mar-24,46986.25,47371,46843.5,47312.85,1291519606,18339.19
26-Mar-24,47200.25,47842.2,47193.65,47807.65,1102137209,22611.17
27-Mar-24,47965.3,48135.35,47786.1,47837.35,1155809119,22636.81
28-Mar-24,48131.4,48250.25,47785.2,48075.75,1212573697,19526.24
01-Apr-24,48463.15,48958.5,48388.85,48912.05,1284256923,18732.1
02-Apr-24,49117.3,49521.3,48918.45,49479.3,1433641113,23576.15
03-Apr-24,49398.95,49801.4,49252.7,49736.7,1563949342,24862.41
04-Apr-24,50101.1,50152.35,49605.8,49743.8,1803097706,19793.59
05-Apr-24,49791.75,50058.55,49678.75,50022.85,1487214531,19534.76
08-Apr-24,50355.55,50361.05,49760.25,50041.4,1503120081,22847.85
09-Apr-24,50279.1,50309.6,49744.15,49894.7,1006134315,18978.47
10-Apr-24,50075.4,50443.15,49963.2,50380.4,1286291159,20867.59
12-Apr-24,50339.2,50590.2,50022.05,50067.55,1892259764,20800.22
15-Apr-24,49105,49644.75,48785.85,49281,1673932286,20426.03
16-Apr-24,48993.35,49550.3,48842.95,49236.65,1805735092,18129.37
18-Apr-24,49532,49731.2,48893.25,48995.7,1494915709,18839.39
19-Apr-24,48548.4,48913.7,47952.7,48696.95,1474854521,17003.75
22-Apr-24,49118.1,49215.85,48916.15,49096.4,2494942592,20234
23-Apr-24,49396.45,49698.35,49291.9,49614.85,3649526754,24708.39
24-Apr-24,49855.15,50050.4,49807.3,49991.9,2471088453,24604.4
25-Apr-24,50010.35,50271.05,49822.35,50228.5,9309740046,34050.57
