Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,16859.5,16914.1,16819,16858.75,20454620,1528.05
02-Jan-24,16903.95,17301.4,16878.5,17274.3,52400796,4944.46
03-Jan-24,17311.85,17423.45,17241.05,17379.8,45015536,2967.43
04-Jan-24,17426.5,17529.85,17326.75,17413.2,23777930,2490.09
05-Jan-24,17483.5,17484.6,17241.1,17358.6,25736051,2234.29
08-Jan-24,17435.8,17438.45,17162,17195.95,18527105,1686.18
09-Jan-24,17319.25,17414.8,17240.35,17346.3,13718842,1606.9
10-Jan-24,17401.05,17476,17271.65,17401.9,18500852,2261.43
11-Jan-24,17449.4,17470.75,17331.15,17380.55,14500294,1920.35
12-Jan-24,17427,17430.15,17271.4,17347.45,16536635,1741.42
15-Jan-24,17423.25,17603.85,17334.15,17520.45,22313070,2182.4
16-Jan-24,17526.95,17531.85,17235.7,17320.15,25981997,1991.24
17-Jan-24,17285.35,17319.7,17130.45,17154,21665785,2215.45
18-Jan-24,17128.35,17382.35,16818.7,17331.25,22609462,2426.69
19-Jan-24,17416.45,17460.55,17308.1,17388,16428428,1737.77
20-Jan-24,17454.3,17481.65,17212.75,17233.8,7454033,689.64
23-Jan-24,17361.95,17689.95,17347.35,17520.3,32186640,3544.48
24-Jan-24,17557.05,17796,17431.6,17763.7,24343121,2777.9
25-Jan-24,17721.05,17738.9,17438.9,17532.55,40101532,3024.89
29-Jan-24,17511.35,17676.9,17432.45,17623.6,20436678,2389.65
30-Jan-24,17674,17750.5,17452.7,17470.15,15607826,1917.79
31-Jan-24,17463.3,18003.15,17451.25,17938.65,29613792,4080.72
01-Feb-24,18004.6,18053.1,17734.75,17839.2,30756629,3488.85
02-Feb-24,17885.35,18084.7,17884.7,17972.1,19858444,2419.24
05-Feb-24,18034.2,18379.8,17979.55,18292.95,35021232,3691.86
06-Feb-24,18301.3,18533.7,18286.9,18488.05,43955705,3560.84
07-Feb-24,18597.85,18640.8,18440.65,18564.85,32258499,3184.93
08-Feb-24,18716.75,18729.65,18493.55,18520.3,25845882,3302.73
09-Feb-24,18569.15,18666.2,18391.2,18617.1,38487243,3644.41
12-Feb-24,18685.65,18850.3,18605.2,18669.55,34564587,4122.06
13-Feb-24,18705.15,18780.05,18619.35,18753.95,23249726,2876.47
14-Feb-24,18714.45,18715.7,18398.3,18584.35,25481697,2792.23
15-Feb-24,18627.7,18694.25,18516.25,18567.7,24878336,2734.42
16-Feb-24,18648.5,18958.85,18621,18870.8,58210422,5415.29
19-Feb-24,18938.7,19079.3,18897.2,19037.7,49978047,3127.07
20-Feb-24,19059.55,19076.8,18802.2,18993,30848886,2744.81
