Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-Jan-24,15195.05,15274.35,15182.1,15226.1,474953767,8773.54
02-Jan-24,15269.45,15324.75,15015.2,15189.9,465792213,8924.49
03-Jan-24,15199.35,15226.95,15096.25,15188.8,567824616,8393.1
04-Jan-24,15265.5,15367.95,15263.45,15339.2,621177260,10383.43
05-Jan-24,15426.4,15458.05,15285.75,15438.85,543483503,9493.43
08-Jan-24,15511.65,15523.8,15326.85,15342.55,539470966,8708.78
09-Jan-24,15462.6,15506.8,15384.25,15409.7,770779661,9319.37
10-Jan-24,15445.4,15465.8,15288.3,15386.7,585327277,10941.82
11-Jan-24,15450.6,15496.25,15420.7,15476.45,871230611,11889.8
12-Jan-24,15568.55,15609.7,15526.9,15544.65,656539753,10762.14
15-Jan-24,15642.9,15687.1,15503.05,15610.5,687346551,11171.79
16-Jan-24,15620.75,15653.9,15376.2,15535.3,725964934,12510.63
17-Jan-24,15385.85,15550.35,15282.05,15348.35,616547417,12042.23
18-Jan-24,15333,15417.45,14936,15320.6,621927010,11216.93
19-Jan-24,15455.8,15561.25,15447.55,15487.45,853289740,12455.66
20-Jan-24,15553.65,15589.35,15477.7,15518.9,892610741,12499.87
23-Jan-24,15633.45,15665.7,15014.05,15073.05,932824736,13537.33
24-Jan-24,15109.8,15348.2,14910.3,15332.05,910475337,14022.18
25-Jan-24,15397.85,15435.3,15289.15,15409.4,975070207,15852.7
29-Jan-24,15503.25,15654.6,15497,15638.55,1136687871,16463.5
30-Jan-24,15743.25,15817.4,15657.35,15673.8,1021616864,14197.78
31-Jan-24,15756.7,16038.95,15737,16026.3,988733664,14961.52
01-Feb-24,16119.85,16142.3,15914.5,16127.2,1269693066,18387.47
02-Feb-24,16253.2,16388.65,16225.25,16277.85,1629782880,22875.14
05-Feb-24,16376.15,16531.75,16220.45,16319.75,1712250282,23388.83
06-Feb-24,16433.8,16478.05,16283.05,16449.35,1165023355,17117.09
07-Feb-24,16569.9,16653.45,16458.05,16566.2,1449769194,19930.14
08-Feb-24,16670.25,16691.6,16471.8,16500.95,984483068,15340.09
09-Feb-24,16561.4,16565.2,16007.55,16269.3,872391657,13480.61
12-Feb-24,16286.75,16295.95,15560.3,15617.05,790866387,12788.47
13-Feb-24,15575.6,15664.9,15225.85,15643.75,907795654,12685.88
14-Feb-24,15453.75,15916.05,15389.6,15896.05,751943791,12053.86
15-Feb-24,16012.75,16120.6,16006.7,16105.2,761092161,12077.85
16-Feb-24,16200.55,16263.15,16164.5,16194,,
19-Feb-24,16292.55,16331.45,16231.55,16258.3,526414493,10430.26
20-Feb-24,16305.15,16348.4,16144.2,16172.35,490982981,9280.13
21-Feb-24,16223.05,16268.6,15968.15,16004.85,534883125,10183.06
22-Feb-24,16081.5,16127,15836.5,16114.45,499022295,9522.95
23-Feb-24,16217.8,16226.35,16139.7,16175.2,360336222,8451.42
26-Feb-24,16221,16256.2,16117.8,16133.15,417235084,8958.36
27-Feb-24,16178.05,16240.35,16130.05,16177.7,437815619,9534.16
28-Feb-24,16241.2,16260,15795.8,15875.15,421015663,9533.12
29-Feb-24,15863.6,16028.2,15642.3,15976.2,529432400,10067.54
01-Mar-24,16076.05,16133.7,16025.7,16058.95,317009643,7057.84
04-Mar-24,16195.75,16228.05,16045.95,16087.25,403591565,8365.09
05-Mar-24,16036.8,16037.7,15871.15,15888.1,537813888,10654.01
06-Mar-24,15823.75,15824.35,15357.2,15576.55,440340798,9804.22
07-Mar-24,15613.3,15746.2,15607.3,15709,415088651,8406.77
11-Mar-24,15777.05,15783.6,15368.35,15396.9,391184121,8067.95
12-Mar-24,15415.95,15421,15010.55,15092.1,412807298,8309.05
13-Mar-24,15113.8,15176.8,14213.55,14295.05,603669165,11745.69
14-Mar-24,14196.8,14803.1,14085.35,14788.55,636773707,11103.91
15-Mar-24,14779.05,14927.4,14566.85,14846.7,761681412,13163.64
18-Mar-24,14858.1,14927.7,14680.6,14762.15,361188885,7045.29
19-Mar-24,14776.7,14801.4,14565.2,14586.85,334417578,6951.69
20-Mar-24,14649.9,14698.75,14396.8,14593.55,367950317,7203.97
21-Mar-24,14762,14980.55,14759.6,14960.3,412114915,8519.54
22-Mar-24,14955.65,15092.95,14918.35,15056.75,331447979,7266.15
26-Mar-24,15064.55,15170.25,14940.75,15118.35,313279798,7821.84
27-Mar-24,15175.7,15349.5,15158.25,15263.9,502376526,13442.77
28-Mar-24,15365.6,15397.15,15251.2,15270.45,360121058,8548.88
01-Apr-24,15418.25,15785.1,15414.55,15768.4,444987459,11145.06
02-Apr-24,15834.85,15974.75,15761.3,15960.95,447031740,11116.3
03-Apr-24,15965.75,16158.9,15932.15,16146.4,483066675,11647.26
04-Apr-24,16287.75,16335.75,16137.8,16219.35,484307625,12893.17
05-Apr-24,16229.25,16375.55,16171.05,16355.35,526674734,12545.41
08-Apr-24,16466.8,16485.6,16360.25,16407.05,496193605,13386.84
09-Apr-24,16508.6,16556.75,16357.45,16451.9,511479746,14407.24
10-Apr-24,16500.05,16593.1,16403.75,16571.4,444589649,13122.76
12-Apr-24,16562.45,16653.3,16473.95,16496.4,389244531,12511.23
15-Apr-24,16131.55,16363.3,15911.85,16211,478606399,12695.31
16-Apr-24,16104.95,16421.65,16065.9,16332.8,390671749,12387.21
18-Apr-24,16441.95,16543.55,16250.4,16286.35,364385918,12732
19-Apr-24,16115.65,16337,15928.5,16270.4,352009612,10044.96
22-Apr-24,16379.45,16502.45,16369.85,16484.2,390873932,12024.21
23-Apr-24,16587.1,16702.6,16571.85,16687.15,488408218,16934.06
24-Apr-24,16775.5,16822.6,16728.5,16746.95,449129776,15811.6
25-Apr-24,16774.1,16899.85,16752.8,16886.8,451551105,14017.34
26-Apr-24,16956.8,17051.55,16910.75,16981.3,594607242,16693.02
29-Apr-24,17098.6,17121,16971.2,17017.85,532413415,13333.35
30-Apr-24,17119.8,17132.6,16992.45,17011.8,437873444,11596.44
02-May-24,17089.3,17108.25,16996.55,17019.4,387195688,11078.7
03-May-24,17128.8,17135.15,16817.4,16936.5,426846443,11172.19
06-May-24,17057.65,17063.75,16619.4,16683.15,379170175,10139.69
07-May-24,16719.9,16727.35,16254.4,16367.05,376063856,11735.41
08-May-24,16331.4,16558.7,16228.95,16461.05,321317218,10138.36
09-May-24,16487.75,16524.05,15960.75,15995.7,302969515,8746.06
10-May-24,16046,16125.1,15782.6,16106.75,311036176,8710.39
13-May-24,16132,16148.35,15717.1,16037.8,314147174,7903.24
14-May-24,16130.3,16378.35,16117.6,16363.15,304192546,10115.47
15-May-24,16447.55,16544.7,16413.85,16457.45,294509363,10182.11
16-May-24,16538.9,16621.3,16509.15,16596.4,340018109,11235.54
17-May-24,16687.95,16886.55,16682.15,16870.8,409308023,13947.06
18-May-24,16945.95,17042.65,16941.25,17009.6,91398330,2365.65
21-May-24,17036,17040.55,16850.8,16939.85,577359505,16635.02
22-May-24,17010.15,17025.4,16730.9,16880.5,519834973,14564.4
23-May-24,16938.85,16979.25,16863.15,16911.9,402817831,13265.05
24-May-24,16933.7,17035.2,16865.05,16883,373105596,15129.39
27-May-24,17000.55,17087.35,16880.15,17019.65,619599059,16933.35
28-May-24,17100.6,17116.65,16796.45,16875.6,495107648,14153.39
29-May-24,16827.8,16954.75,16723.45,16886,398470988,13825.96
30-May-24,16843.3,16877.25,16582.55,16612.85,683783863,11866.24
31-May-24,16692.2,16774.35,16520.85,16696.7,484104281,13742.87
03-Jun-24,17420.55,17424.15,17006.35,17098.7,778444106,15398.51
04-Jun-24,17094,17094.15,14966,15692.15,1023646476,21575.92
05-Jun-24,15872.4,16334.85,15371.9,16289.4,594806924,15114.33
06-Jun-24,16527.1,16918.6,16524.4,16826.1,528983332,15001.91
07-Jun-24,16915.5,17226.15,16831.3,17215.55,552094547,16199.79
10-Jun-24,17362.3,17528.65,17277.75,17475.15,600493108,15712.08
11-Jun-24,17535.75,17665.55,17455.55,17571.6,1505041089,22051.11
12-Jun-24,17652.4,17809.15,17646.15,17788.3,711797326,14515.79
13-Jun-24,17909.25,17925.15,17784.3,17908.1,731254729,13769.89
14-Jun-24,17978.55,18089.15,17883.65,18043.6,614965498,15904.3
18-Jun-24,18149.9,18263.35,18103.25,18238.55,595881046,17827.43
19-Jun-24,18326.2,18347.05,17967.8,18155.5,757967574,16532.92
20-Jun-24,18209.75,18307.75,18105.1,18266.45,701419753,18959.88
21-Jun-24,18329.05,18400.25,18208.8,18235.05,606004344,18131.12
24-Jun-24,18174.25,18273.35,18008.9,18217.05,508293932,12480.39
25-Jun-24,18315.35,18437.65,18222.9,18242.05,465757916,19688.6
26-Jun-24,18298.6,18354.85,18213.8,18288,505199009,16945.99
27-Jun-24,18330,18403.15,18088.3,18165,496003508,16200.55
28-Jun-24,18263.15,18379.4,18259.6,18317.7,456034199,18325.08
01-Jul-24,18400.05,18600.95,18373.4,18593.65,443864044,16511.88
02-Jul-24,18653.7,18679.95,18393.25,18509.05,448443995,16124.99
03-Jul-24,18618.75,18713.35,18569.35,18700.55,580422126,18625.21
04-Jul-24,18798.8,18827.35,18684.35,18792.95,724817224,21366.54
05-Jul-24,18822.4,18993.6,18795,18941.2,700427871,25562.88
08-Jul-24,19036.65,19107.45,18844.95,18908.4,576051164,20397.44
09-Jul-24,19037.5,19095.55,18867.4,18956.75,674954182,19039.97
10-Jul-24,19044.8,19063.45,18414.7,18789.75,658870067,18986.32
11-Jul-24,18892.45,18936.35,18790.15,18919.65,578665010,17759.29
12-Jul-24,19009.5,19069.5,18902.2,18949.05,590386672,19621.05
15-Jul-24,19045.1,19087.6,18853.85,19047.7,570662868,15416.39
16-Jul-24,19111.2,19180.1,19024.9,19062.4,679401954,15085.7
18-Jul-24,19094,19098.6,18720.85,18829.2,774236262,16832.06
19-Jul-24,18831.15,18835.95,18367.5,18397.75,791658182,17019.39
22-Jul-24,18265.55,18597.85,18111.65,18563.05,575329562,13885.18
23-Jul-24,18644.4,18651.7,17559.65,18400.5,793245415,20759.25
24-Jul-24,18420.15,18748.7,18392.45,18723.5,618360261,14979.97
25-Jul-24,18574.95,18711.2,18512.9,18673.05,620763322,14706.22
26-Jul-24,18726.35,18879,18692.2,18854,556543005,13568.93
